iteration, center_diff
2, 0.15817706153696148
3, 0.15132969038801022
4, 0.144931451577827
5, 0.13894656061091892
6, 0.13334222071280946
7, 0.12808838359611494
8, 0.12315752755083145
9, 0.1185244516717675
10, 0.11416608515253857
11, 0.11006131067243499
12, 0.10619080098239622
13, 0.10253686786194297
14, 0.09908332267293994
15, 0.09581534778090652
16, 0.09271937815245142
17, 0.08978299247025827
18, 0.08699481313642739
19, 0.08434441456214563
20, 0.08182223916757785
21, 0.07941952054125526
22, 0.07712821323341475
23, 0.07494092868313798
24, 0.07285087680462043
25, 0.07085181278367116
26, 0.06893798866132105
27, 0.06710410930717373
28, 0.06534529241062403
29, 0.06365703214308735
30, 0.06203516616897991
31, 0.06047584570670279
32, 0.05897550836388452
33, 0.05753085349281912
34, 0.05613881983279266
35, 0.05479656522554769
36, 0.05350144820855479
37, 0.05225101130785651
38, 0.051042965868353905
39, 0.049875178274137545
40, 0.048745657425197444
41, 0.04765254334942246
42, 0.04659409684033971
43, 0.04556869002162176
44, 0.04457479774898697
45, 0.04361098976891451
46, 0.04267592356151355
47, 0.04176833780211479
48, 0.04088704638266366
49, 0.04003093293986609
50, 0.039198945842361006
51, 0.038390093593964204
52, 0.03760344061431825
53, 0.03683810336218263
54, 0.036093246769999754
55, 0.0353680809615847
56, 0.034661858227480795
57, 0.033973870235098666
58, 0.03330344545298445
59, 0.03264994677055576
60, 0.03201276929647051
61, 0.03139133832042753
62, 0.030785107424597977
63, 0.03019355673223179
64, 0.02961619128215692
65, 0.02905253951887454
66, 0.028502151888988157
67, 0.027964599535459028
68, 0.027439473082011785
69, 0.02692638150064405
70, 0.026424951055869658
71, 0.02593482431980732
72, 0.025455659252810667
73, 0.024987128344709696
74, 0.02452891781221779
75, 0.0240807268483638
76, 0.02364226692019848
77, 0.02321326111129031
78, 0.022793443505833986
79, 0.022382558611430375
80, 0.02198036081782275
81, 0.021586613889097918
82, 0.021201090487059374
83, 0.020823571723603516
84, 0.020453846740175405
85, 0.02009171231244335
86, 0.01973697247851994
87, 0.019389438189156907
88, 0.01904892697846503
89, 0.018715262653809146
90, 0.01838827500362693
91, 0.018067799522001143
92, 0.01775367714891887
93, 0.01744575402519434
94, 0.017143881261135755
95, 0.016847914718063878
96, 0.016557714801896724
97, 0.016273146268016573
98, 0.015994078036735828
99, 0.015720383018688264
100, 0.015451937949542268
101, 0.015188623233462914
102, 0.01493032279477174
103, 0.014676923937333648
104, 0.014428317211185641
105, 0.014184396285959645
106, 0.013945057830734924
107, 0.013710201399885838
108, 0.013479729324609929
109, 0.013253546609785772
110, 0.0130315608358473
111, 0.01281368206539243
112, 0.012599822754242523
113, 0.012389897666705398
114, 0.012183823794799367
115, 0.011981520281210778
116, 0.011782908345779362
117, 0.011587911215313624
118, 0.011396454056551384
119, 0.011208463912082127
120, 0.011023869639096483
121, 0.010842601850773593
122, 0.010664592860187365
123, 0.010489776626598706
124, 0.01031808870399013
125, 0.010149466191732312
126, 0.009983847687294664
127, 0.009821173240838215
128, 0.009661384311663149
129, 0.009504423726357566
130, 0.009350235638600529
131, 0.00919876549051624
132, 0.00904995997551057
133, 0.00890376700251817
134, 0.008760135661579273
135, 0.008619016190709738
136, 0.008480359943960377
137, 0.008344119360660667
138, 0.008210247935739434
139, 0.008078700191118166
140, 0.007949431648088432
141, 0.007822398800670276
142, 0.007697559089859059
143, 0.00757487087876926
144, 0.007454293428596794
145, 0.007335786875395508
146, 0.007219312207608694
147, 0.007104831244329703
148, 0.006992306614276912
149, 0.0068817017354299605
150, 0.00677298079531313
151, 0.006666108731895698
152, 0.006561051215090036
153, 0.006457774628812698
154, 0.006356246053590493
155, 0.006256433249704113
156, 0.006158304640822949
157, 0.006061829298127508
158, 0.00596697692490998
159, 0.005873717841607856
160, 0.005782022971281878
161, 0.005691863825507991
162, 0.005603212490666629
163, 0.00551604161462549
164, 0.005430324393790025
165, 0.005346034560519247
166, 0.005263146370878951
167, 0.005181634592744757
168, 0.005101474494218515
169, 0.005022641832357937
170, 0.004945112842212508
171, 0.004868864226149994
172, 0.004793873143464714
173, 0.0047201172002582165
174, 0.004647574439584965
175, 0.004576223331857344
176, 0.0045060427654884305
177, 0.004437012037791233
178, 0.004369110846085893
179, 0.004302319279059163
180, 0.004236617808321348
181, 0.00417198728017971
182, 0.00410840890762717
183, 0.004045864262511588
184, 0.003984335267913224
185, 0.003923804190705568
186, 0.0038642536342862626
187, 0.0038056665315025543
188, 0.0037480261377367077
189, 0.0036913160241544792
