iteration, center_diff
2, 0.16387385655951178
3, 0.1621914432680783
4, 0.16052632165045175
5, 0.15887831378408082
6, 0.1572472435794571
7, 0.15563293676099052
8, 0.15403522084830173
9, 0.15245392513770714
10, 0.150888880683899
11, 0.1493399202818002
12, 0.14780687844863932
13, 0.14628959140616965
14, 0.1447878970631004
15, 0.14330163499770215
16, 0.14183064644058754
17, 0.14037477425767053
18, 0.13893386293330884
19, 0.1375077585536112
20, 0.1360963087899229
21, 0.1346993628824767
22, 0.13331677162422245
23, 0.13194838734480643
24, 0.13059406389473802
25, 0.12925365662970004
26, 0.12792702239503173
27, 0.12661401951037052
28, 0.12531450775445122
29, 0.1240283483500589
30, 0.12275540394914512
31, 0.12149553861809122
32, 0.12024861782312261
33, 0.1190145084158832
34, 0.11779307861914251
35, 0.1165841980126725
36, 0.11538773751924267
37, 0.11420356939078943
38, 0.11303156719470067
39, 0.11187160580026542
40, 0.11072356136524264
41, 0.10958731132258742
42, 0.1084627343672989
43, 0.10734971044341353
44, 0.10624812073112741
45, 0.10515784763405589
46, 0.10407877476662107
47, 0.10301078694156914
48, 0.10195377015762258
49, 0.10090761158724558
50, 0.09987219956456227
51, 0.09884742357335988
52, 0.09783317423526297
53, 0.09682934329798605
54, 0.09583582362373742
55, 0.0948525091777277
56, 0.09387929501680106
57, 0.09291607727818604
58, 0.09196275316836156
59, 0.09101922095202891
60, 0.09008537994121585
61, 0.08916113048447365
62, 0.08824637395619715
63, 0.08734101274605875
64, 0.08644495024853165
65, 0.08555809085254634
66, 0.0846803399312382
67, 0.08381160383180074
68, 0.08295178986545279
69, 0.0821008062975033
70, 0.0812585623375154
71, 0.08042496812957664
72, 0.07959993474267518
73, 0.07878337416116032
74, 0.07797519927531085
75, 0.07717532387200753
76, 0.07638366262548615
77, 0.07560013108819481
78, 0.07482464568174958
79, 0.0740571236879731
80, 0.07329748324003256
81, 0.07254564331366992
82, 0.07180152371851399
83, 0.07106504508949973
84, 0.0703361288783509
85, 0.06961469734517502
86, 0.06890067355012723
87, 0.06819398134517357
88, 0.06749454536592771
89, 0.06680229102357967
90, 0.06611714449690426
91, 0.06543903272435649
92, 0.06476788339623551
93, 0.06410362494695178
94, 0.06344618654734946
95, 0.06279549809712719
96, 0.062151490217326216
97, 0.06151409424289858
98, 0.06088324221535451
99, 0.06025886687548174
100, 0.05964090165614476
101, 0.059029280675150585
102, 0.058423938728201896
103, 0.05782481128189955
104, 0.05723183446684512
105, 0.05664494507079819
106, 0.05606408053189923
107, 0.05548917893197967
108, 0.054920178989926495
109, 0.05435702005512169
110, 0.053799642100949466
111, 0.05324798571836405
112, 0.052701992109534454
113, 0.052161603081545924
114, 0.05162676104016911
115, 0.05109740898369707
116, 0.05057349049683559
117, 0.050054949744673
118, 0.04954173146669381
119, 0.049033780970869204
120, 0.04853104412779869
121, 0.04803346736491505
122, 0.047540997660755036
123, 0.04705358253927393
124, 0.04657117006424217
125, 0.046093708833669825
126, 0.04562114797431985
127, 0.04515343713625419
128, 0.044690526487444295
129, 0.04423236670844637
130, 0.043778908987108914
131, 0.04333010501336447
132, 0.04288590697404547
133, 0.04244626754778059
134, 0.04201113989991234
135, 0.04158047767750975
136, 0.04115423500438463
137, 0.040732366476196546
138, 0.04031482715559013
139, 0.03990157256738791
140, 0.0394925586938277
141, 0.03908774196985658
142, 0.038687079278469934
143, 0.03829052794609633
144, 0.03789804573803201
145, 0.03750959085392089
146, 0.03712512192328881
147, 0.03674459800110974
148, 0.03636797856342918
149, 0.03599522350303277
150, 0.03562629312514487
151, 0.03526114814319393
152, 0.03489974967460901
153, 0.03454205923664751
154, 0.03418803874229565
155, 0.033837650496187484
156, 0.033490857190567755
157, 0.033147621901312894
158, 0.032807908083969446
159, 0.032471679569858115
160, 0.03213890056219654
161, 0.03180953563227086
162, 0.03148354971565359
163, 0.031160908108448602
164, 0.03084157646358213
165, 0.030525520787125913
166, 0.03021270743466693
167, 0.029903103107710712
168, 0.029596674850111932
169, 0.029293390044561537
170, 0.028993216409090087
171, 0.028696121993625825
172, 0.028402075176565553
173, 0.02811104466141055
174, 0.027822999473400303
175, 0.027537908956222688
176, 0.027255742768715504
177, 0.02697647088164383
178, 0.026700063574469204
179, 0.02642649143218901
180, 0.026155725342183238
181, 0.02588773649110226
182, 0.025622496361793083
183, 0.025359976730245
184, 0.025100149662576694
185, 0.024842987512047044
186, 0.024588462916102487
187, 0.024336548793453174
188, 0.02408721834117695
189, 0.02384044503185362
190, 0.023596202610734182
191, 0.02335446509293026
192, 0.023115206760639637
193, 0.022878402160399824
194, 0.022644026100361585
195, 0.022412053647601893
196, 0.02218246012546384
197, 0.021955221110908304
198, 0.0217303124319145
199, 0.02150771016489115
200, 0.02128739063212689
201, 0.021069330399248413
202, 0.020853506272734294
203, 0.0206398952974175
204, 0.02042847475405101
205, 0.02021922215686467
206, 0.020012115251176518
207, 0.019807132011005063
208, 0.019604250636724378
209, 0.019403449552727384
210, 0.019204707405127513
211, 0.019008003059475684
212, 0.018813315598501464
213, 0.018620624319879955
214, 0.018429908734020825
215, 0.018241148561879438
216, 0.018054323732790045
217, 0.017869414382325446
218, 0.01768640085016824
219, 0.01750526367802163
220, 0.017325983607520058
221, 0.017148541578182876
222, 0.016972918725368862
223, 0.016799096378272933
224, 0.016627056057920895
225, 0.016456779475203773
226, 0.016288248528922727
227, 0.016121445303854943
228, 0.015956352068842487
229, 0.015792951274898468
230, 0.015631225553333742
231, 0.015471157713901906
232, 0.015312730742961614
233, 0.015155927801666516
234, 0.015000732224160505
235, 0.014847127515802541
236, 0.014695097351405806
237, 0.014544625573491515
238, 0.014395696190568436
239, 0.01424829337542127
240, 0.014102401463428393
241, 0.013958004950879838
242, 0.013815088493330956
243, 0.013673636903959164
244, 0.013533635151945573
245, 0.013395068360871046
246, 0.013257921807127192
247, 0.013122180918345164
248, 0.01298783127183814
249, 0.01285485859306798
250, 0.012723248754115773
251, 0.01259298777217947
252, 0.012464061808073013
253, 0.012336457164762239
254, 0.012210160285893943
255, 0.012085157754345903
256, 0.011961436290810572
257, 0.01183898275236367
258, 0.011717784131062276
259, 0.011597827552571152
260, 0.011479100274770627
261, 0.01136158968640962
262, 0.01124528330575552
263, 0.011130168779263601
264, 0.011016233880257032
265, 0.010903466507625695
266, 0.010791854684533517
267, 0.010681386557139636
268, 0.010572050393337067
269, 0.010463834581497147
270, 0.010356727629235977
271, 0.01025071816218108
272, 0.01014579492276801
273, 0.010041946769030242
274, 0.009939162673414957
275, 0.009837431721609785
276, 0.009736743111373304
277, 0.009637086151385432
278, 0.009538450260104256
279, 0.009440824964647425
280, 0.009344199899661457
281, 0.009248564806224402
282, 0.009153909530751384
283, 0.009060224023912135
284, 0.008967498339554196
285, 0.008875722633651006
286, 0.008784887163241202
287, 0.008694982285403224
288, 0.00860599845621434
289, 0.008517926229739174
290, 0.008430756257025806
291, 0.008344479285098608
292, 0.008259086155985577
293, 0.008174567805728663
294, 0.008090915263426526
295, 0.008008119650274774
296, 0.007926172178617295
297, 0.007845064151015631
